種類,関数名,サンプル数 (子を含む),サンプル数 (関数のみ),サンプル % (子を含む),サンプル % (関数のみ),ソース ファイル,関数行番号,モジュール名,モジュール パス,関数アドレス,ルート関数名,プロセス名,プロセス ID,
"Callee","_DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77134C9C,"_DevObjGetDeviceInterfaceAlias@16","mic.exe",4144,
"Root","_DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77134C9C,"_DevObjOpenDeviceInterface@16","mic.exe",4144,
"Caller","_DevObjGetDeviceInterfaceAlias@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77133F8C,"_DevObjOpenDeviceInterface@16","mic.exe",4144,
"Callee","__DevObjOpenDeviceInterface@16",1,0,0.03,0.00,"",0,"DEVOBJ.dll","C:\Windows\syswow64\DEVOBJ.dll",0x77134D10,"_DevObjOpenDeviceInterface@16","mic.exe",4144,
"Root","_DIB_HandleMessage",2,0,0.07,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",133,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24D820,"_DIB_HandleMessage","mic.exe",4144,
"Caller","_WinMessage@16",2,0,0.07,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_sysevents.c",252,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D273BE0,"_DIB_HandleMessage","mic.exe",4144,
"Callee","_DefWindowProcA@16",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FFCFF8,"_DIB_HandleMessage","mic.exe",4144,
"Root","_DIB_PumpEvents",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",361,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24DD40,"_DIB_PumpEvents","mic.exe",4144,
"Caller","_SDL_PumpEvents",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\events\sdl_events.c",369,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D25BB00,"_DIB_PumpEvents","mic.exe",4144,
"Callee","_DispatchMessageA@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF7BBB,"_DIB_PumpEvents","mic.exe",4144,
"Root","_DIB_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibvideo.c",585,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24F970,"_DIB_SetVideoMode","mic.exe",4144,
"Caller","_SDL_SetVideoMode",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\sdl_video.c",584,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D278010,"_DIB_SetVideoMode","mic.exe",4144,
"Callee","_WIN_GL_SetupWindow",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\wincommon\sdl_wingl.c",173,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D27DE80,"_DIB_SetVideoMode","mic.exe",4144,
"Root","_DispatchClientMessage@24",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6D97,"_DispatchClientMessage@24","mic.exe",4144,
"Caller","___fnDWORD@4",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6E19,"_DispatchClientMessage@24","mic.exe",4144,
"Callee","_UserCallWinProcCheckWow@32",2,0,0.07,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF6C83,"_DispatchClientMessage@24","mic.exe",4144,
"Root","_DispatchMessageA@4",1,0,0.03,0.00,"",0,"USER32.dll","C:\Windows\syswow64\USER32.dll",0x76FF7BBB,"_DispatchMessageA@4","mic.exe",4144,
"Caller","_DIB_PumpEvents",1,0,0.03,0.00,"c:\users\takana\desktop\sdl-1.2.15\src\video\windib\sdl_dibevents.c",361,"SDL.dll","C:\Users\takana\Documents\visual studio 2010\Projects\AuditorySceneAnalysis\Debug\SDL.dll",0x6D24DD40,"_DispatchMessageA@4","mic.exe",4144,
